sample_id,condition
2b94070a-21ec-457b-88af-3d2a89b97ac6,Normal
56d5b0b9-9093-4286-a2c6-7faa9a1680f5,Normal
d9d7f0d4-fa64-48f2-8037-52cbf0b34ad8,Normal
b107565b-7558-4745-952b-689178367e1c,Normal
57a2044d-20cc-4d02-b268-ce570a0fabe3,Normal
639e1050-088a-48fe-a0ef-4a01a3468cac,Normal
93edb105-5dc9-4a4a-9fca-c91f0161fcc7,Normal
31a3877d-3e82-450e-811f-3448b06f3950,Normal
01ad5016-f691-4bca-82a0-910429d8d25b,Tumor
e703af88-c05f-4d7b-b225-d640e4d1a2a5,Tumor
d4da3298-3a02-44a6-bdcd-d260f38e520b,Tumor
5da56982-6de7-4994-aa9e-3b01200b2959,Tumor
80809d79-92e1-4d6c-ba2e-0a9589997792,Tumor
19089ae0-b590-4649-9d94-a147fa506e32,Tumor
fbb69964-f962-4b89-b59b-dd05f8faf61a,Tumor
e7af286b-3dec-4cf2-8fbd-fa64b3efdf7f,Tumor
ce00896a-f7d2-4123-bb95-24cb6e53fc32,Tumor
e2edbf3f-25d8-49aa-b656-2a59c3b99aeb,Tumor
68801d41-535f-4b38-989b-ef4fe5f00039,Tumor
192da41f-f0a5-494e-8eb9-96bcdae56ff8,Tumor
cac80259-3a26-4a99-b0d3-13454068e6ed,Tumor
d259eeb2-d15e-436d-9d37-2d0b7658bc91,Tumor
92c043b6-8d53-4c1c-808a-c4be5e2926e6,Tumor
733d8b6a-ca9d-4a69-8c9c-1f88733e8b68,Tumor
9f45a227-1fd5-478c-a194-4a5c61b68cc3,Tumor
0f940ec0-eb0b-422a-a764-a26c8e5c216d,Tumor
3aae5316-6a5d-4b83-9020-ad691d4edf99,Tumor
b728e6e8-a0e4-496b-904c-6f07c12e901f,Tumor
7a6c54f1-f4e4-426b-b306-2ca3c4de12ca,Tumor
4aadf2a2-ce1e-4f94-b146-59292e83e7fd,Tumor
3a8ca50f-bc9f-4250-8c8d-22893763ea46,Tumor
2c9996bb-af6e-4424-881a-e81b9c9aeb78,Tumor
912b61a1-6a5b-451c-b753-9c3dac03e8cb,Tumor
ab9cc98a-86ae-4913-bcb2-cc3aeff8abb1,Tumor
93cd5d07-e0d3-40f8-ae7f-beadb1efb7c1,Tumor
f1e6ce83-b4a0-4643-8e8e-a1ef8a158a27,Tumor
41f8c9fd-ae52-4458-886b-faf37de77dd0,Tumor
