"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000167767.14",1215.74304089167,7.22928060800883,0.382272056236051,18.9113498883235,9.19720551387854e-80,1.91384649538299e-75
"ENSG00000164379.7",1891.19008383339,6.01332183333528,0.37215878917352,16.1579465762168,9.9832044403216e-59,1.03870250599326e-54
"ENSG00000105464.3",1401.05379251058,5.07080288430559,0.331262685900966,15.3074979468757,6.81350065150113e-53,4.72607116856957e-49
"ENSG00000164283.13",190.50161720816,6.16700534045744,0.418445874031369,14.7378806272926,3.68158108112531e-49,1.91525051792841e-45
"ENSG00000103888.17",4221.23578338195,5.34047011501272,0.368628992303991,14.4873849493875,1.45580548755207e-47,6.0587712780942e-44
"ENSG00000159263.16",291.631731752862,7.72323240648963,0.561907991006725,13.744656652155,5.48325651241748e-43,1.68422157394584e-39
"ENSG00000168748.14",877.220913929815,-6.89380902890293,0.50164926405677,-13.7422887320787,5.66560191149064e-43,1.68422157394584e-39
"ENSG00000175832.13",3407.96809739257,5.6236335390727,0.414989962560066,13.5512519492775,7.78902423528848e-42,2.02602256640147e-38
"ENSG00000142959.5",823.944892690715,-6.16476967294013,0.466924538613012,-13.2029250192171,8.43932902772195e-40,1.95126664153185e-36
"ENSG00000172031.7",245.695765969901,4.82612341411192,0.370034220858454,13.0423705216119,7.02387283765928e-39,1.46159769878852e-35
"ENSG00000137673.9",3103.1334769767,8.50712159245121,0.657877450384689,12.9311645922455,3.00236293387888e-38,5.67965184464414e-35
"ENSG00000163347.6",3753.07243595917,5.04029991044563,0.391282951051569,12.8814708049504,5.72343345273622e-38,9.92491055983233e-35
"ENSG00000281406.2",320.162446433592,5.51456062471171,0.432489987355031,12.7507243773133,3.08861873542978e-37,4.94392825119679e-34
"ENSG00000101187.16",2193.25386856048,3.82602747164614,0.314751937642565,12.1556915592082,5.35070768162522e-34,7.95306258192422e-31
"ENSG00000062038.14",2633.11461442919,5.01415912056167,0.421643706907402,11.8919339679908,1.30352761892561e-32,1.80834041481487e-29
"ENSG00000131746.13",3733.1072305878,3.66832634226695,0.311978158076616,11.7582793772572,6.4025765360026e-32,8.32695094610488e-29
"ENSG00000169764.16",5572.7766530875,-2.11216225698503,0.180542595560779,-11.6989691569709,1.29011142736293e-31,1.57917227599972e-28
"ENSG00000254166.3",1105.65032791642,4.90619679869389,0.423000598047112,11.5985575938771,4.19082036643752e-31,4.84482116695547e-28
"ENSG00000178773.15",1150.14391468225,5.8748006151321,0.507405033027883,11.5781283840936,5.31947587574608e-31,5.8259459736e-28
"ENSG00000005001.10",723.904769911071,4.31029397032285,0.379719347013172,11.3512624632564,7.30995365811901e-30,7.60564128358993e-27
"ENSG00000006704.11",2227.30465417399,2.19647771430899,0.196754263049178,11.1635584422381,6.14804348129741e-29,6.09212556201513e-26
"ENSG00000112559.15",480.215019250379,3.63773961387661,0.32820985315657,11.083578323108,1.50725712093444e-28,1.42565970134204e-25
"ENSG00000105976.16",5049.29048974233,2.0977498823578,0.189358356479795,11.0782007266821,1.60056673744821e-28,1.44809535824173e-25
"ENSG00000185269.12",572.232998249808,8.04517001050243,0.733048397858776,10.9749506772026,5.04333727600722e-28,4.37278355735142e-25
"ENSG00000105989.10",245.559067684418,5.37268843231601,0.493968929786766,10.876571598613,1.49064470465762e-27,1.24075302636882e-24
"ENSG00000171617.14",4937.97040301431,2.05929725182682,0.190220365543683,10.8258505651642,2.59657007391534e-27,2.07815487185017e-24
"ENSG00000158106.14",815.206963984765,3.01923542232545,0.28482268475919,10.6004036331521,2.96696907860015e-26,2.2866540576515e-23
"ENSG00000050344.9",2672.34468162974,2.87406543285791,0.271725511235812,10.5770909024575,3.80591926952584e-26,2.82847764569868e-23
"ENSG00000214039.9",597.570736447267,8.67818411540592,0.824210321093111,10.5290893517282,6.34452724469084e-26,4.55252646326799e-23
"ENSG00000197961.12",1394.26778663203,1.94617414362094,0.184989247923794,10.520471678563,6.95246553345891e-26,4.82246184285821e-23
"ENSG00000162461.8",156.857564156193,-3.87343880554148,0.370453515033771,-10.4559375153678,1.37630820863565e-25,9.23857984306429e-23
"ENSG00000165816.13",1437.35008238043,4.25075689104974,0.40743583911097,10.4329479221193,1.75361733645167e-25,1.14034447356946e-22
"ENSG00000139433.11",1783.69228255839,-1.65969648999982,0.159302963593956,-10.4184909844501,2.04166760404189e-25,1.28742609613659e-22
"ENSG00000165376.11",4736.79342439663,7.08381909806342,0.684547204472422,10.3481820563754,4.26507335464527e-25,2.61035033637687e-22
"ENSG00000111110.12",1308.2791020774,2.32064360242064,0.225224953659165,10.3036700184318,6.78233064964399e-25,4.03238624252691e-22
"ENSG00000249859.12",529.757938339362,3.00073993785186,0.291411514272879,10.2972593424773,7.24973481604711e-25,4.1905481051979e-22
"ENSG00000015413.9",6207.16005307454,5.39660605269843,0.524770878002205,10.2837376823257,8.34280748889739e-25,4.69204002801259e-22
"ENSG00000040199.18",1148.51306387283,-2.65058141307295,0.258092549608576,-10.2698873605334,9.63170521820502e-25,5.27437247067443e-22
"ENSG00000173898.14",1221.75185100934,3.02224002041473,0.295939246967638,10.2123663940566,1.74554888436661e-24,9.31362223968839e-22
"ENSG00000197905.10",769.34175334904,2.16554594965012,0.212155221447766,10.2073657903503,1.83786643599096e-24,9.561040666634e-22
"ENSG00000088002.12",608.043167306707,3.73811173607225,0.367084852261216,10.1832361456643,2.35593480742651e-24,1.19572310750581e-21
"ENSG00000120254.16",1392.94778725529,2.15233376970754,0.212827868057352,10.1130260306303,4.83668384639558e-24,2.39634652761061e-21
"ENSG00000170373.8",258.529916402346,6.98151346966791,0.693193276297542,10.0715250831014,7.38243431740086e-24,3.57258315606499e-21
"ENSG00000122641.11",999.540006180603,5.52108780664448,0.55025164488337,10.0337506629621,1.08321951839989e-23,5.12288976326892e-21
"ENSG00000169247.14",542.622049100106,3.68054115470608,0.367186282729706,10.0236346721465,1.20006699129613e-23,5.54937644930693e-21
"ENSG00000125398.8",6989.88603709902,2.15543795166314,0.215701688009065,9.99268003675775,1.64084327611336e-23,7.42267559405279e-21
"ENSG00000167755.15",510.994124062152,8.55253704954874,0.865677578120533,9.87958711847094,5.10427815422065e-23,2.25989200236548e-20
"ENSG00000170231.16",266.762497758824,5.79912045347757,0.58775678070869,9.86653092540296,5.81406612569372e-23,2.52051879186584e-20
"ENSG00000088992.18",1627.2404192778,4.21835589262639,0.429471349603989,9.82220559419411,9.03448762476626e-23,3.83670720375023e-20
"ENSG00000117682.17",1567.78094646334,-1.32433481350826,0.13496688190035,-9.81229465229896,9.96757189109314e-23,4.14830406963514e-20
"ENSG00000152669.9",373.867787809961,3.5680576464522,0.364604344871698,9.78610841214133,1.29172106119266e-22,5.27047520830549e-20
"ENSG00000120149.9",605.442160293064,5.36485248652658,0.552922330687954,9.7027234907506,2.93556126965798e-22,1.17473258577525e-19
"ENSG00000123500.10",804.677165318317,8.15998068908288,0.84257391872937,9.6845873195178,3.5062165188228e-22,1.37661999132422e-19
"ENSG00000203499.12",1035.53861105185,2.84230565696193,0.294639383892696,9.64672685440133,5.07497266457478e-22,1.95565011439142e-19
"ENSG00000139515.6",552.926829358014,4.45143953771588,0.466658865542733,9.53895846924235,1.44273944329052e-21,5.45853910462407e-19
"ENSG00000145506.14",713.935996217396,4.27060814860466,0.448702747399346,9.51767773510825,1.77092149800604e-21,6.58055454500138e-19
"ENSG00000197273.4",5437.94102560723,-6.01172376632507,0.63200940412543,-9.51207961002423,1.86888413659512e-21,6.82273859621191e-19
"ENSG00000129474.16",744.967763145623,3.04073338114781,0.319998647379135,9.50233198187599,2.05241675757852e-21,7.36357591525026e-19
"ENSG00000183742.13",2138.14687525431,2.87736088025655,0.305671958411363,9.413231410597,4.81113462111678e-21,1.69686271747151e-18
"ENSG00000186198.4",736.672280011649,-4.72221242673955,0.501933226099464,-9.40804908142062,5.05430765491979e-21,1.7529181331871e-18
"ENSG00000103257.9",4898.22324439222,2.74428502543843,0.292743800956418,9.37435742950876,6.95984022126462e-21,2.37421828138189e-18
"ENSG00000125630.16",1415.50704165614,1.18124894724455,0.126358285500225,9.34840910960638,8.89759138097167e-21,2.98628998462322e-18
"ENSG00000101115.13",174.322536202766,4.46622225583973,0.478575870283105,9.33231809869082,1.03580276551351e-20,3.42127297580487e-18
"ENSG00000060718.22",1091.22774580088,6.39607753636587,0.685713923754638,9.32761799752299,1.08276866773654e-20,3.52052081358276e-18
"ENSG00000259319.1",34.3528635247544,-2.01963000555014,0.216580138779329,-9.325093320805,1.10885969373259e-20,3.54988636413561e-18
"ENSG00000163959.10",332.12583257312,-3.72747957027333,0.400377189454047,-9.30991991665685,1.27928770193302e-20,4.03343905901884e-18
"ENSG00000101255.11",2512.05925619357,3.70200381698559,0.398544609858315,9.28880663648085,1.56027829154305e-20,4.77468102481165e-18
"ENSG00000138669.9",96.400395658929,-3.88407011771534,0.418132160616437,-9.28909680611315,1.55603088242347e-20,4.77468102481165e-18
"ENSG00000196950.14",1196.31049287656,1.91856081178706,0.206899872392724,9.27289509461549,1.81160576763017e-20,5.46343542298785e-18
"ENSG00000273604.2",442.140405342432,3.74271723025537,0.403838353653771,9.26785976713884,1.89918377840967e-20,5.64573074927524e-18
"ENSG00000108244.17",1138.24094761819,6.52100679636004,0.706314765063037,9.23243731961068,2.64542521931989e-20,7.75333146321516e-18
"ENSG00000150593.18",4509.78375988315,-1.85695284320066,0.201335227174495,-9.22318895337307,2.88393007431685e-20,8.33495846061936e-18
"ENSG00000142235.12",283.612608977881,3.04012167392648,0.330103098951143,9.20961264400741,3.27303909142741e-20,9.32995485664561e-18
"ENSG00000269404.7",444.774194085819,-5.13930080317532,0.558185529091424,-9.20715521153106,3.34882265330066e-20,9.41697980980182e-18
"ENSG00000172594.13",1332.99111687211,-3.02430089800855,0.329524335022569,-9.17777710651147,4.4008180627455e-20,1.22102164090228e-17
"ENSG00000265688.2",197.427313705051,3.01970923607502,0.331599262182844,9.10650167372796,8.50811568447487e-20,2.32954446418734e-17
"ENSG00000198894.8",1041.83968212251,-1.33973320331842,0.147154749282019,-9.10424712661393,8.68668118565516e-20,2.34754738691296e-17
"ENSG00000131188.12",323.547567740989,3.44909841183233,0.379429061014934,9.09023257893412,9.88274219568259e-20,2.63653823525588e-17
"ENSG00000065325.13",137.343665006163,-3.99456480183522,0.440237650260246,-9.07365555734235,1.15089510758537e-19,3.03151598654987e-17
"ENSG00000115507.10",84.6432693877017,5.72152045063848,0.632937055509308,9.03963577552672,1.57194700199546e-19,4.08883064556544e-17
"ENSG00000114346.14",2753.41322153276,1.83354222921841,0.20300965962401,9.03179795786211,1.68873994092667e-19,4.33839375688187e-17
"ENSG00000137868.19",238.791952260399,4.73364473487551,0.525793396792301,9.00286075054191,2.19911185562893e-19,5.51341187997378e-17
"ENSG00000196502.12",849.107218807843,-2.84216375622502,0.315650746798199,-9.00414076334206,2.17361161170276e-19,5.51341187997378e-17
"ENSG00000163815.6",183.982499698613,-3.74040882703452,0.416403738625704,-8.98264948191708,2.64323525964136e-19,6.54798601403298e-17
"ENSG00000181577.16",1040.35696360406,4.42283707870993,0.493023833600912,8.97083827856096,2.9426624025276e-19,7.20398375696434e-17
"ENSG00000168546.11",79.2388292582181,-4.12323729043545,0.460126685746886,-8.96109140842927,3.21480415465436e-19,7.77870461095378e-17
"ENSG00000104267.10",13091.3748397992,-5.02737371624065,0.561747236071489,-8.94952995478709,3.56999255773776e-19,8.5388477165477e-17
"ENSG00000141570.11",492.445516308624,1.56903520406251,0.175977044541493,8.91613567070989,4.82841922686699e-19,1.14175654195313e-16
"ENSG00000183248.12",203.219350957968,3.96917997314728,0.446416886468109,8.89119586077942,6.04547074998039e-19,1.41348540265553e-16
"ENSG00000052749.14",1921.10685209141,1.62713484167888,0.183370579130521,8.87347822859145,7.08961055894514e-19,1.63919673467877e-16
"ENSG00000187091.14",1202.90701720384,-2.35734533895064,0.265963783903159,-8.86340728183121,7.76054391101013e-19,1.77460613455176e-16
"ENSG00000108375.13",3292.98717311631,2.66081188461522,0.300574819038749,8.85241116712507,8.5648498623507e-19,1.92306714319316e-16
"ENSG00000119919.11",258.86641075402,-3.00296932962533,0.339240978214918,-8.85202414350684,8.59461023196519e-19,1.92306714319316e-16
"ENSG00000187730.9",38.0361313445498,2.86710044108825,0.32442339086206,8.83752689184886,9.78606905643249e-19,2.16636501058834e-16
"ENSG00000133800.9",579.055491694355,-4.93855593487519,0.559218292963136,-8.83117737209062,1.03579582308472e-18,2.22543864574252e-16
